city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kaustinen,63.5481,23.6999,Finland,FI,Keski-Pohjanmaa,minor,,
Kyr‰,60.7,22.75,Finland,FI,Varsinais-Suomi,minor,,
Vinkkil‰,60.6833,21.7167,Finland,FI,Varsinais-Suomi,minor,,
Kausala,60.8928,26.3394,Finland,FI,Kymenlaakso,minor,,
Simpele,61.4333,29.367,Finland,FI,Etel‰-Karjala,minor,,
Dalsbruk,60.0333,22.5167,Finland,FI,Varsinais-Suomi,minor,,
Bj‰rby,60.2572,20.1342,Finland,FI,≈land,minor,,
Korkeakoski,61.8,24.3667,Finland,FI,Pirkanmaa,minor,,
Taavetti,60.9167,27.5667,Finland,FI,Etel‰-Karjala,minor,,
F‰gl‰,60,20.4333,Finland,FI,≈land,minor,,
Pyh‰salmi,63.6833,25.9833,Finland,FI,Pohjois-Pohjanmaa,minor,,
Karlby,59.9167,20.9,Finland,FI,≈land,minor,,
Polvij‰rvi,62.4167,28.3333,Finland,FI,Etel‰-Savo,minor,,
Kolari,67.3317,23.7913,Finland,FI,Lappi,minor,,
Ivalo,68.6565,27.5404,Finland,FI,Lappi,minor,,
≈va,60.4667,21.0833,Finland,FI,≈land,minor,,
